model,fraction,seed,n_train,val_auc,test_auc
I-JEPA SSL (clean),0.01,42,187,0.571913,0.555406
I-JEPA SSL (clean),0.01,123,187,0.512911,0.496551
I-JEPA SSL (clean),0.01,456,187,0.596804,0.571685
I-JEPA SSL (clean),0.01,789,187,0.499896,0.485326
I-JEPA SSL (clean),0.01,1234,187,0.534223,0.526933
ResNet50 ImageNet,0.01,42,187,0.808823,0.78077
ResNet50 ImageNet,0.01,123,187,0.819696,0.77655
ResNet50 ImageNet,0.01,456,187,0.815697,0.761285
ResNet50 ImageNet,0.01,789,187,0.821533,0.805499
ResNet50 ImageNet,0.01,1234,187,0.810828,0.783573
ViT-Small ImageNet,0.01,42,187,0.819775,0.797585
ViT-Small ImageNet,0.01,123,187,0.805595,0.789669
ViT-Small ImageNet,0.01,456,187,0.812214,0.770212
ViT-Small ImageNet,0.01,789,187,0.827004,0.8049
ViT-Small ImageNet,0.01,1234,187,0.807316,0.78025
I-JEPA SSL (clean),0.05,42,934,0.627055,0.608891
I-JEPA SSL (clean),0.05,123,934,0.586182,0.570578
I-JEPA SSL (clean),0.05,456,934,0.635027,0.61324
ResNet50 ImageNet,0.05,42,934,0.831606,0.769834
ResNet50 ImageNet,0.05,123,934,0.835335,0.817105
ResNet50 ImageNet,0.05,456,934,0.833677,0.812442
ViT-Small ImageNet,0.05,42,934,0.853025,0.825273
ViT-Small ImageNet,0.05,123,934,0.853369,0.82894
ViT-Small ImageNet,0.05,456,934,0.853443,0.820275
I-JEPA SSL (clean),0.1,42,1868,0.789924,0.780869
ResNet50 ImageNet,0.1,42,1868,0.848502,0.816419
ViT-Small ImageNet,0.1,42,1868,0.860663,0.834185
I-JEPA SSL (clean),0.25,42,4670,0.802572,0.794768
ResNet50 ImageNet,0.25,42,4670,0.869347,0.833692
ViT-Small ImageNet,0.25,42,4670,0.867284,0.849674
I-JEPA SSL (clean),0.5,42,9339,0.813916,0.796367
ResNet50 ImageNet,0.5,42,9339,0.878042,0.837633
ViT-Small ImageNet,0.5,42,9339,0.8734,0.861394
I-JEPA SSL (clean),1.0,42,18678,0.816356,0.807604
ResNet50 ImageNet,1.0,42,18678,0.887703,0.855728
ViT-Small ImageNet,1.0,42,18678,0.881066,0.867461
