model,fraction,test_auc_mean,test_auc_std,n_seeds,ci
I-JEPA Full FT v2,0.01,0.8041,0.0002,5,0.8041 +/- 0.0002
I-JEPA Full FT v2,0.05,0.8041,0.0004,3,0.8041 +/- 0.0004
I-JEPA Full FT v2,0.1,0.7861,0.0,1,0.7861 (NB07)
I-JEPA Full FT v2,0.25,0.793,0.0,1,0.7930 (NB07)
I-JEPA Full FT v2,0.5,0.8039,0.0,1,0.8039 (NB07)
I-JEPA Full FT v2,1.0,0.8136,0.0,1,0.8136 (NB07)
I-JEPA Partial FT v1,0.01,0.8004,0.0003,5,0.8004 +/- 0.0003
I-JEPA Partial FT v1,0.05,0.8001,0.0001,3,0.8001 +/- 0.0001
I-JEPA Partial FT v1,0.1,0.79,0.0,1,0.7900 (NB07)
I-JEPA Partial FT v1,0.25,0.798,0.0,1,0.7980 (NB07)
I-JEPA Partial FT v1,0.5,0.798,0.0,1,0.7980 (NB07)
I-JEPA Partial FT v1,1.0,0.81,0.0,1,0.8100 (NB07)
ResNet50 ImageNet,0.01,0.7821,0.0286,5,0.7821 +/- 0.0286
ResNet50 ImageNet,0.05,0.817,0.016,3,0.8170 +/- 0.0160
ResNet50 ImageNet,0.1,0.8354,0.0,1,0.8354 (NB07)
ResNet50 ImageNet,0.25,0.8331,0.0,1,0.8331 (NB07)
ResNet50 ImageNet,0.5,0.8614,0.0,1,0.8614 (NB07)
ResNet50 ImageNet,1.0,0.8816,0.0,1,0.8816 (NB07)
ViT-Small ImageNet,0.01,0.7906,0.025,5,0.7906 +/- 0.0250
ViT-Small ImageNet,0.05,0.8185,0.0215,3,0.8185 +/- 0.0215
